name,actor_credits,total_wins,total_nominations
Neil Patrick Harris,120,28,70
María Marull,30,0,0
Darío Grandinetti,104,15,12
Mónica Villa,46,0,0
Patton Oswalt,257,8,29
Jay Baruchel,80,9,16
Mack Swain,165,0,0
Tom Murray,22,0,0
Gerard Butler,73,6,17
Buster Keaton,153,0,0
Christopher Mintz-Plasse,60,1,9
Christopher Walken,144,28,38
Robert Shaw,65,3,5
Marion Mack,10,0,0
Toni Collette,98,58,118
Kathryn McGuire,82,0,0
John Cazale,7,0,0
Joe Keaton,16,0,0
Richard Dreyfuss,130,20,20
Glen Cavender,347,0,0
Roy Scheider,89,2,9
Eric Bana,45,9,20
Philip Seymour Hoffman,63,92,101
Jon Bernthal,77,8,20
Yves Montand,60,5,8
Matt Damon,103,40,158
Christian Bale,57,84,133
Lee J. Cobb,101,5,10
Karl Malden,72,9,13
Peter van Eyck,96,1,3
Charles Vanel,181,0,0
Jean Arthur,96,18,1
Claude Rains,79,14,4
Vijay Sethupathi,104,18,30
Victor Sjöström,44,4,1
Anurag Kashyap,44,30,62
Alida Valli,136,10,4
Bibi Andersson,105,8,3
Ingrid Thulin,68,8,3
Mamta Mohandas,67,7,6
Patrick Stewart,157,28,59
Talia Shire,78,8,8
Sylvester Stallone,98,66,84
Dafne Keen,9,5,17
Chieko Higashiyama,110,0,0
Burt Young,168,7,8
Chishû Ryû,319,0,0
Sô Yamamura,218,7,1
Jeff Bridges,100,54,121
Julianne Moore,111,120,211
Rachel McAdams,42,31,92
Michael Keaton,94,76,58
Mark Ruffalo,83,42,173
Max von Sydow,164,28,26
Gunnar Björnstrand,144,1,1
Bengt Ekerot,35,0,0
Brie Larson,76,70,86
Sean Bridgers,85,3,2
Michael Biehn,113,3,3
Jacob Tremblay,48,23,46
Lijo Mol Jose,0,4,4
Manikandan K.,21,0,0
Geoffrey Rush,69,49,82
Johnny Depp,101,82,161
Don Cheadle,110,38,122
Suriya,69,19,32
Sophie Okonedo,91,9,29
Joaquin Phoenix,59,72,204
Charlie Sheen,86,6,23
Tom Berenger,116,6,8
Saïd Taghmaoui,81,2,2
Hubert Koundé,41,0,0
Myrna Loy,141,0,0
Vernon Dobtcheff,379,3,1
Vincent Cassel,111,8,27
Willem Dafoe,159,89,143
Dana Andrews,103,0,0
Fredric March,88,38,13
Eugene Silvain,1,0,0
Maria Falconetti,3,0,0
André Berley,44,0,0
Ray Bolger,38,4,1
Max von Sydow,164,28,26
Frank Morgan,100,14,2
Linda Blair,77,6,9
Judy Garland,41,26,20
Craig T. Nelson,98,6,16
Samuel L. Jackson,217,49,100
Daniel Brühl,83,27,38
Holly Hunter,70,48,98
Wil Wheaton,149,8,6
Julie Andrews,53,38,58
Joan Allen,50,34,64
