rank,title,year,rating,duration,imdb_rating,genre,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
213,Maharaja,,,,8.4,"Action, Crime, Drama",https://www.imdb.com/title/tt26548265/,2039.0,0,0,Vijay Sethupathi,https://www.imdb.com/name/nm4043111/?ref_=tt_cst_t_1,Anurag Kashyap,https://www.imdb.com/name/nm0440604/?ref_=tt_cst_t_2,Mamta Mohandas,https://www.imdb.com/name/nm1952830/?ref_=tt_cst_t_3
214,Rocky,,PG,,8.1,"Drama, Sport",https://www.imdb.com/title/tt0075148/,482.0,3,0,Sylvester Stallone,https://www.imdb.com/name/nm0000230/?ref_=tt_cst_t_1,Talia Shire,https://www.imdb.com/name/nm0001735/?ref_=tt_cst_t_2,Burt Young,https://www.imdb.com/name/nm0949350/?ref_=tt_cst_t_3
215,Tôkyô monogatari,,Not Rated,,8.1,Drama,https://www.imdb.com/title/tt0046438/,,0,0,Chishû Ryû,https://www.imdb.com/name/nm0753479/?ref_=tt_cst_t_1,Chieko Higashiyama,https://www.imdb.com/name/nm0383261/?ref_=tt_cst_t_2,Sô Yamamura,https://www.imdb.com/name/nm0945522/?ref_=tt_cst_t_3
216,The Big Lebowski,,R,,8.1,"Comedy, Crime",https://www.imdb.com/title/tt0118715/,302.0,0,0,Jeff Bridges,https://www.imdb.com/name/nm0000313/?ref_=tt_cst_t_1,John Goodman,https://www.imdb.com/name/nm0000422/?ref_=tt_cst_t_2,Julianne Moore,https://www.imdb.com/name/nm0000194/?ref_=tt_cst_t_3
217,Spotlight,,R,,8.1,"Biography, Crime, Drama",https://www.imdb.com/title/tt1895587/,697.0,2,0,Mark Ruffalo,https://www.imdb.com/name/nm0749263/?ref_=tt_cst_t_1,Michael Keaton,https://www.imdb.com/name/nm0000474/?ref_=tt_cst_t_2,Rachel McAdams,https://www.imdb.com/name/nm1046097/?ref_=tt_cst_t_3
218,Det sjunde inseglet,,Not Rated,,8.1,"Drama, Fantasy",https://www.imdb.com/title/tt0050976/,2607.0,0,0,Max von Sydow,https://www.imdb.com/name/nm0001884/?ref_=tt_cst_t_1,Gunnar Björnstrand,https://www.imdb.com/name/nm0085038/?ref_=tt_cst_t_2,Bengt Ekerot,https://www.imdb.com/name/nm0252345/?ref_=tt_cst_t_3
219,The Terminator,,R,,8.1,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt0088247/,495.0,0,0,Arnold Schwarzenegger,https://www.imdb.com/name/nm0000216/?ref_=tt_cst_t_1,Linda Hamilton,https://www.imdb.com/name/nm0000157/?ref_=tt_cst_t_2,Michael Biehn,https://www.imdb.com/name/nm0000299/?ref_=tt_cst_t_3
220,Room,,R,,8.1,"Drama, Thriller",https://www.imdb.com/title/tt3170832/,872.0,1,0,Brie Larson,https://www.imdb.com/name/nm0488953/?ref_=tt_cst_t_1,Jacob Tremblay,https://www.imdb.com/name/nm5016878/?ref_=tt_cst_t_2,Sean Bridgers,https://www.imdb.com/name/nm0108703/?ref_=tt_cst_t_3
221,Pirates of the Caribbean: The Curse of the Black Pearl,,PG-13,,8.1,"Action, Adventure, Fantasy",https://www.imdb.com/title/tt0325980/,236.0,0,5,Johnny Depp,https://www.imdb.com/name/nm0000136/?ref_=tt_cst_t_1,Geoffrey Rush,https://www.imdb.com/name/nm0001691/?ref_=tt_cst_t_2,Orlando Bloom,https://www.imdb.com/name/nm0089217/?ref_=tt_cst_t_3
222,La haine,,Not Rated,,8.1,"Crime, Drama",https://www.imdb.com/title/tt0113247/,2070.0,0,0,Vincent Cassel,https://www.imdb.com/name/nm0001993/?ref_=tt_cst_t_1,Hubert Koundé,https://www.imdb.com/name/nm0468003/?ref_=tt_cst_t_2,Saïd Taghmaoui,https://www.imdb.com/name/nm0846548/?ref_=tt_cst_t_3
